"","Sales","CompPrice","Income","Advertising","Population","Price","ShelveLoc","Age","Education","Urban","US","High"
"341",7.5,140,29,0,105,91,"Bad",43,16,"Yes","No","No"
"198",2.52,124,61,0,333,138,"Medium",76,16,"Yes","No","No"
"262",5.71,121,42,4,188,118,"Medium",54,15,"Yes","Yes","No"
"392",6.1,153,63,0,49,124,"Bad",56,16,"Yes","No","No"
"273",12.98,113,33,0,14,63,"Good",38,12,"Yes","No","Yes"
"349",12.57,132,102,20,459,107,"Good",49,11,"Yes","Yes","Yes"
"204",2.05,131,82,0,132,157,"Bad",25,14,"Yes","No","No"
"381",9.64,106,64,10,17,89,"Medium",68,17,"Yes","Yes","Yes"
"297",8.21,127,44,13,160,123,"Good",63,18,"Yes","Yes","Yes"
"178",10.48,138,72,0,148,94,"Medium",27,17,"Yes","Yes","Yes"
"75",6.2,150,68,5,125,136,"Medium",64,13,"No","Yes","No"
"131",8.41,94,84,13,497,77,"Medium",51,12,"Yes","Yes","Yes"
"306",8.03,115,29,26,394,132,"Medium",33,13,"Yes","Yes","Yes"
"371",7.68,126,41,22,403,119,"Bad",42,12,"Yes","Yes","No"
"311",9.53,175,65,29,419,166,"Medium",53,12,"Yes","Yes","Yes"
"63",1.82,139,45,0,146,133,"Bad",77,17,"Yes","Yes","No"
"136",6.44,96,94,14,384,120,"Medium",36,18,"No","Yes","No"
"231",5.16,115,60,0,119,114,"Bad",38,14,"No","No","No"
"289",6.98,116,40,0,74,97,"Medium",76,15,"No","No","No"
"54",6.92,109,64,13,39,119,"Medium",61,17,"Yes","Yes","No"
"361",8.77,118,86,7,265,114,"Good",52,15,"No","Yes","Yes"
"112",6.62,132,118,12,272,151,"Medium",43,14,"Yes","Yes","No"
"171",8.01,128,39,12,356,118,"Medium",71,10,"Yes","Yes","Yes"
"38",4.95,121,41,5,412,110,"Medium",54,10,"Yes","Yes","No"
"380",5.81,125,111,0,404,107,"Bad",54,15,"Yes","No","No"
"110",8.98,115,65,0,217,90,"Medium",60,17,"No","No","Yes"
"144",0.53,122,88,7,36,159,"Bad",28,17,"Yes","Yes","No"
"45",4.16,85,79,6,325,95,"Medium",69,13,"Yes","Yes","No"
"238",9.62,151,28,8,499,135,"Medium",48,10,"Yes","Yes","Yes"
"208",8.19,111,105,0,466,97,"Bad",61,10,"No","No","Yes"
"134",7.62,132,98,2,265,97,"Bad",62,12,"Yes","Yes","No"
"339",5.97,112,24,0,164,101,"Medium",45,11,"Yes","No","No"
"9",6.54,132,110,0,108,124,"Medium",76,10,"No","No","No"
"350",9.32,134,27,18,467,96,"Medium",49,14,"No","Yes","Yes"
"130",4.47,143,120,7,279,147,"Bad",40,10,"No","Yes","No"
"244",7.82,124,25,13,87,110,"Medium",57,10,"Yes","Yes","No"
"3",10.06,113,35,10,269,80,"Medium",59,12,"Yes","Yes","Yes"
"129",4.96,133,100,3,350,126,"Bad",55,13,"Yes","Yes","No"
"304",10.01,133,52,16,290,99,"Medium",43,11,"Yes","Yes","Yes"
"397",6.14,139,23,3,37,120,"Medium",55,11,"No","Yes","No"
"301",8.57,116,78,1,158,99,"Medium",45,11,"Yes","Yes","Yes"
"382",3.9,124,65,21,496,151,"Bad",77,13,"Yes","Yes","No"
"274",10.04,116,106,8,244,86,"Medium",58,12,"Yes","Yes","Yes"
"8",11.85,136,81,15,425,120,"Good",67,10,"Yes","Yes","Yes"
"164",5.68,130,64,0,40,106,"Bad",39,17,"No","No","No"
"367",5.98,124,56,11,447,134,"Medium",53,12,"No","Yes","No"
"37",8.89,122,76,0,270,100,"Good",60,18,"No","No","Yes"
"226",6.68,107,25,0,412,82,"Bad",36,14,"Yes","No","No"
"149",7.56,110,119,0,384,97,"Medium",72,14,"No","Yes","No"
"205",8.74,155,80,0,237,124,"Medium",37,14,"Yes","No","Yes"
"327",4.69,133,30,0,152,122,"Medium",53,17,"Yes","No","No"
"242",12.01,136,63,0,160,94,"Medium",38,12,"Yes","No","Yes"
"44",4.12,123,42,11,16,134,"Medium",59,13,"Yes","Yes","No"
"276",6.67,107,119,11,210,132,"Medium",53,11,"Yes","Yes","No"
"156",7.71,98,72,0,59,69,"Medium",65,16,"Yes","No","No"
"368",14.37,95,106,0,256,53,"Good",52,17,"Yes","No","Yes"
"106",5.55,104,100,8,398,97,"Medium",61,11,"Yes","Yes","No"
"175",0,139,24,0,358,185,"Medium",79,15,"No","No","No"
"388",8.67,142,73,14,238,115,"Medium",73,14,"No","Yes","Yes"
"326",11.7,144,69,11,131,104,"Medium",47,11,"Yes","Yes","Yes"
"182",7.43,121,83,0,79,91,"Medium",68,11,"Yes","No","No"
"224",3.45,110,45,9,276,125,"Medium",62,14,"Yes","Yes","No"
"271",11.99,119,26,0,284,89,"Good",26,10,"Yes","No","Yes"
"13",3.98,122,35,2,393,136,"Medium",62,18,"Yes","No","No"
"328",6.23,112,38,17,316,104,"Medium",80,16,"Yes","Yes","No"
