price,solarPanels,greenhouses,size,rowIndex,price.1
1500,5.0,2.5,430,0,1160.2158022301933
2990,12.0,3.0,470,1,2613.8008456394905
1990,8.0,3.0,315,3,1199.2451097747412
1500,7.5,1.5,245,4,-204.86918188012896
1300,16.0,1.5,290,7,1161.0150943480926
7500,12.0,7.5,1035,8,8678.258602956294
1800,8.0,2.0,565,9,2017.4907243186221
7600,20.0,6.0,770,10,7255.901294356019
1990,6.0,3.0,350,11,1140.7769105175025
4500,16.0,4.5,450,12,3954.427570666438
6950,20.0,4.0,905,13,6787.365598408896
3400,24.0,2.5,615,14,4700.188171079586
2300,10.0,2.0,585,15,2393.154761594816
1950,8.0,3.5,325,16,1568.6939049129637
2500,20.0,2.0,495,17,3175.7075075466687
1990,14.0,1.5,540,18,2342.4942618922246
3500,8.0,5.0,595,19,4061.167583501255
1700,10.0,4.5,325,20,2452.5676502699994
1950,6.25,1.0,425,21,358.7494032992722
19750,32.0,8.0,1180,22,12429.479962288598
990,10.0,1.5,305,23,466.56276163626717
4850,24.0,4.0,600,24,5549.0106890242005
2050,5.0,4.0,580,25,2960.6258342316737
1500,7.0,1.0,320,26,-149.18625139729147
1650,8.0,2.0,560,27,1988.6547390441715
2750,24.0,2.5,460,28,3806.272627571621
5990,16.0,5.5,815,31,6683.008144879968
3950,10.0,5.0,690,32,4869.371399894208
2700,12.0,3.25,535,34,3144.557066502009
3950,20.0,2.0,490,35,3146.871522272218
4400,20.0,4.5,665,36,5715.015129824595
4600,16.0,4.0,690,37,5026.778039250741
3900,16.0,4.0,605,38,4536.566289585082
8950,20.0,5.0,915,40,7468.59121813644
1950,4.0,2.0,520,43,1237.3266644917844
1500,7.0,2.0,390,44,878.0711916236592
8500,24.0,5.0,920,45,8018.067395767675
2350,5.25,4.0,645,47,3368.033654821829
1150,7.0,1.0,405,48,341.02549826836685
2990,10.0,5.0,585,49,4263.815709130748
5500,10.0,6.5,900,50,7015.813255189094
12450,32.0,5.0,1080,51,9982.09930926366
1990,7.0,2.0,535,52,1714.3147645827244
2100,14.0,3.0,470,54,2874.1209418178837
1550,12.0,1.0,455,55,1280.1855914588518
2900,16.0,3.0,405,56,2759.5732294284185
6950,16.0,6.25,780,57,6948.821484842798
2300,4.0,5.25,600,58,3725.251788713583
2950,20.0,3.0,515,59,3914.6050978231137
1550,5.0,3.5,460,60,1956.7853630555396
1950,14.0,1.5,540,61,2342.4942618922246
1950,4.5,3.5,365,62,1343.8216187963822
7700,24.0,6.25,745,63,7788.249972635211
2950,20.0,1.0,675,64,3590.2493282482424
2400,4.0,5.75,495,65,3431.4729225394453
10700,32.0,4.0,1145,66,9733.413468652872
1990,10.0,2.0,515,67,1989.4509677525098
2950,20.0,2.0,560,68,3550.5753161145253
950,7.0,1.0,225,69,-697.0699716118511
1150,14.0,1.0,330,71,819.6060557759824
3990,24.0,3.5,565,73,5035.381967513726
3700,14.0,4.0,615,74,4333.918163955592
2950,14.0,2.0,595,75,2971.466924500502
1950,12.0,1.5,450,76,1563.1264307737233
2200,16.0,3.5,320,77,2581.1383043520814
3950,24.0,3.0,495,80,4319.901349082096
1990,10.0,2.0,380,81,1210.8793653423468
1950,6.0,4.0,370,82,1879.6745007939485
4500,20.0,3.0,830,83,5731.272170113496
1400,12.0,1.5,470,84,1678.470371871526
5900,20.0,4.0,900,85,6758.529613134446
2500,4.5,5.0,515,86,3144.2316507978617
5500,20.0,4.5,920,87,7185.6503788215705
1950,10.0,3.0,280,88,1257.7133090319799
1950,8.0,2.25,455,90,1538.9874605753726
10500,28.0,5.0,1120,91,9692.146999102479
950,5.0,2.0,160,92,-708.7042271794558
1500,5.0,1.0,355,94,-207.65445065453014
2350,14.0,3.0,455,95,2787.6129859945318
2400,10.0,4.0,385,96,2486.822648974084
2990,10.0,5.5,400,97,3508.6610785654007
1950,7.0,1.25,395,99,439.24194001412707
2950,8.0,4.5,685,100,4268.438493852043
1400,12.0,1.25,520,101,1810.9418123213704
2800,7.0,3.5,505,102,2476.629326703986
1600,5.25,2.5,530,104,1769.475519741501
1990,10.0,2.0,450,105,1614.5831591846531
4500,16.0,5.0,620,107,5246.627894587078
1700,12.0,2.5,470,108,2302.0240210501684
1500,20.0,1.0,480,109,2465.6459025446725
5950,24.0,3.0,750,110,5790.53659807907
4300,20.0,5.5,615,111,6050.208926258732
1650,16.0,1.0,470,112,1887.3337396389884
3300,16.0,4.0,505,113,3959.846584096072
2950,20.0,2.0,395,114,2598.9878020576584
950,10.0,1.0,290,115,68.277981223594
2700,20.0,2.0,580,117,3665.919257212327
1950,14.0,2.25,400,118,2002.7519110915932
1990,6.0,3.0,585,119,2496.068218416676
1500,14.0,1.75,320,120,1229.5993221110634
1990,10.0,1.0,545,121,1538.9132302205694
